Amplifier,Lamp1,Lamp2,Monitor1,Monitor2,Multimediacenter,PC-Desktop1,PC-Desktop2,PC-Laptop2,Subwoofer,TV-LCD1,TV-LCD2,USBHarddrive,USBHub,VideoProjector,Amplifier,Lamp1,Lamp2,Monitor1,Monitor2,Multimediacenter,PC-Desktop1,PC-Desktop2,PC-Laptop2,Subwoofer,TV-LCD1,TV-LCD2,USBHarddrive,USBHub,VideoProjector
0,0,207,0,0,0,2,90.15,19.12,0,0,0,13,0,0,0,0,207,0,0,0,2,90.15,19.12,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13,0,0
0,0,207,0,0,0,2,90.14,18.76,0,0,0,13,0,0,0,0,207,0,0,0,2,90.14,18.76,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13,0,0
0,0,207,0,0,0,2,90,18.87,0,0,0,13,0,0,0,0,207,0,0,0,2,90,18.87,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13.65,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13.65,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13.27,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13.27,0,0
0,0,207,0,0,0,2,90,19,0,0,0,13,0,0,0,0,207,0,0,0,2,90,19,0,0,0,13,0,0
0,0,207,0,0,0,2,90,19,0,0,0,12.82,0,0,0,0,207,0,0,0,2,90,19,0,0,0,12.82,0,0
0,0,196.71,0,0,0,2,90,19,0,0,0,13.55,0,0,0,0,196.71,0,0,0,2,90,19,0,0,0,13.55,0,0
0,0,93,0,0,0,2,90,19,0,0,0,12.93,0,0,0,0,93,0,0,0,2,90,19,0,0,0,12.93,0,0
0,0,94,0,0,0,2,90,19.65,0,0,0,12.88,0,0,0,0,94,0,0,0,2,90,19.65,0,0,0,12.88,0,0
0,0,94,0,0,0,2,90,19,0,0,0,13.11,0,0,0,0,94,0,0,0,2,90,19,0,0,0,13.11,0,0
0,0,94,0,0,0,2,90,19,0,0,0,13.61,0,0,0,0,94,0,0,0,2,90,19,0,0,0,13.61,0,0
0,0,94,0,0,0,2,90,19,0,0,0,13,0,0,0,0,94,0,0,0,2,90,19,0,0,0,13,0,0
0,0,94,0,0,0,2,90,19,0,0,0,12.84,0,0,0,0,94,0,0,0,2,90,19,0,0,0,12.84,0,0
0,0,94,0,0,0,2,90,19,0,0,0,14.11,0,0,0,0,94,0,0,0,2,90,19,0,0,0,14.11,0,0
0,0,94,0,0,0,2,90.14,19,0,0,0,13,0,0,0,0,94,0,0,0,2,90.14,19,0,0,0,13,0,0
0,0,94,0,0,0,2,90.14,19.13,0,0,0,13,0,0,0,0,94,0,0,0,2,90.14,19.13,0,0,0,13,0,0
0,0,94,0,0,0,2,90,19,0,0,0,13.11,0,0,0,0,94,0,0,0,2,90,19,0,0,0,13.11,0,0
0,0,94,0,0,0,2,90,19,0,0,0,13.83,0,0,0,0,94,0,0,0,2,90,19,0,0,0,13.83,0,0
0,0,94,0,0,0,2,90,19,0,0,0,12.84,0,0,0,0,94,0,0,0,2,90,19,0,0,0,12.84,0,0
0,0,94,0,0,0,2,90,18.73,0,0,0,12.82,0,0,0,0,94,0,0,0,2,90,18.73,0,0,0,12.82,0,0
0,0,94.22,0,0,0,2,90,19,0,0,0,13.91,0,0,0,0,94.22,0,0,0,2,90,19,0,0,0,13.91,0,0
0,0,94,0,0,0,2,90,19,0,0,0,13.17,0,0,0,0,94,0,0,0,2,90,19,0,0,0,13.17,0,0
0,0,94,0,0,0,2,90,19,0,0,0,12.95,0,0,0,0,94,0,0,0,2,90,19,0,0,0,12.95,0,0
0,0,94.35,0,0,0,2,90,19,0,0,0,13,0,0,0,0,94.35,0,0,0,2,90,19,0,0,0,13,0,0
0,0,95.87,0,0,0,2,90,19,0,0,0,13.98,0,0,0,0,95.87,0,0,0,2,90,19,0,0,0,13.98,0,0
0,0,96,0,0,0,2,90,19,0,0,0,13,0,0,0,0,96,0,0,0,2,90,19,0,0,0,13,0,0
0,0,96,0,0,0,2,90,19,0,0,0,13,0,0,0,0,96,0,0,0,2,90,19,0,0,0,13,0,0
0,0,95.88,0,0,0,2,90,19,0,0,0,13.54,0,0,0,0,95.88,0,0,0,2,90,19,0,0,0,13.54,0,0
0,0,96,0,0,0,2,90.05,19,0,0,0,13.54,0,0,0,0,96,0,0,0,2,90.05,19,0,0,0,13.54,0,0
0,0,95.88,0,0,0,2,90.14,18.88,0,0,0,13,0,0,0,0,95.88,0,0,0,2,90.14,18.88,0,0,0,13,0,0
